review_id,review_text,sentiment_label,sentiment_score,identified_theme(s),date,bank
0,it's not working,neutral,0.0,App Performance & Stability Issues,2025-06-05,Bank of Abyssinia
1,"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",neutral,0.0333333333333333,App Performance & Stability Issues,2025-06-03,Bank of Abyssinia
2,exceptional,positive,0.6666666666666666,Uncategorized Feedback,2025-06-03,Bank of Abyssinia
3,BoA Mobile good bank,positive,0.7,Uncategorized Feedback,2025-06-02,Bank of Abyssinia
4,this is worest app 24/7 loading,neutral,0.0,Uncategorized Feedback,2025-06-01,Bank of Abyssinia
5,This App is not interest for Android phone Please update it .,neutral,0.0,Uncategorized Feedback,2025-06-01,Bank of Abyssinia
6,BoA system is confartable,neutral,0.0,Uncategorized Feedback,2025-06-01,Bank of Abyssinia
7,"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",neutral,-0.0166666666666666,Uncategorized Feedback,2025-05-27,Bank of Abyssinia
8,Good service.,positive,0.7,Uncategorized Feedback,2025-05-25,Bank of Abyssinia
9,the app crush frequently,neutral,0.1,Uncategorized Feedback,2025-05-24,Bank of Abyssinia
10,good,positive,0.7,Uncategorized Feedback,2025-05-22,Bank of Abyssinia
11,You guys keeps getting worst,negative,-1.0,General Negative Feedback,2025-05-22,Bank of Abyssinia
12,good,positive,0.7,Uncategorized Feedback,2025-05-21,Bank of Abyssinia
13,"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",positive,0.1380952380952381,App Performance & Stability Issues,2025-05-21,Bank of Abyssinia
14,BoA,neutral,0.0,Uncategorized Feedback,2025-05-20,Bank of Abyssinia
15,good,positive,0.7,Uncategorized Feedback,2025-05-20,Bank of Abyssinia
16,but not opening on android,neutral,0.0,Uncategorized Feedback,2025-05-19,Bank of Abyssinia
17,Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,negative,-0.3333333333333333,General Negative Feedback; Positive User Experience & Features,2025-05-18,Bank of Abyssinia
18,amazing,positive,0.6000000000000001,Positive User Experience & Features,2025-05-18,Bank of Abyssinia
19,excellent app,positive,1.0,Positive User Experience & Features,2025-05-16,Bank of Abyssinia
20,excellent,positive,1.0,Positive User Experience & Features,2025-05-15,Bank of Abyssinia
