review_id,review_text,sentiment_label,sentiment_score,identified_theme(s)
0,it's not working,neutral,0.0,General Feedback
1,"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",neutral,0.0333333333333333,Account Access & Login Issues; App Stability & Bugs
2,exceptional,positive,0.6666666666666666,General Feedback
3,BoA Mobile good bank,positive,0.7,General Feedback
4,this is worest app 24/7 loading,neutral,0.0,General Feedback
5,This App is not interest for Android phone Please update it .,neutral,0.0,App Stability & Bugs
6,BoA system is confartable,neutral,0.0,General Feedback
7,"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",neutral,-0.0166666666666666,General Feedback
8,Good service.,positive,0.7,General Feedback
9,the app crush frequently,neutral,0.1,General Feedback
10,good,positive,0.7,General Feedback
11,You guys keeps getting worst,negative,-1.0,General Feedback
12,good,positive,0.7,General Feedback
13,"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",positive,0.1380952380952381,Transaction Performance & Speed; App Stability & Bugs; User Interface & Experience
14,BoA,neutral,0.0,General Feedback
15,good,positive,0.7,General Feedback
16,but not opening on android,neutral,0.0,General Feedback
17,Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,negative,-0.3333333333333333,General Feedback
18,amazing,positive,0.6000000000000001,General Feedback
19,excellent app,positive,1.0,General Feedback
20,excellent,positive,1.0,General Feedback
21,ሞላዬ ከበደ,neutral,0.0,General Feedback
22,"this app does no work on Samsung a51, it just gives a preview of the logo",neutral,0.0,General Feedback
23,nice,positive,0.6,General Feedback
24,"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",positive,0.265625,App Stability & Bugs
25,Best app,positive,1.0,General Feedback
26,liking this application good 👍,positive,0.7,General Feedback
27,"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",neutral,0.0288888888888888,Account Access & Login Issues
28,good,positive,0.7,General Feedback
29,good,positive,0.7,General Feedback
30,good,positive,0.7,General Feedback
31,wow,neutral,0.1,General Feedback
32,it's really good 👍,positive,0.7,General Feedback
33,Bad app . it stuck when you open and noting WORKS.,negative,-0.3499999999999999,General Feedback
34,"the app isn't working after it asked me the password it starts loading, but it doesn't open",neutral,0.0,Account Access & Login Issues
35,Best,positive,1.0,General Feedback
36,It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,negative,-0.65,Transaction Performance & Speed
37,yideg,neutral,0.0,General Feedback
38,አይከፍትም እኮ,neutral,0.0,General Feedback
39,great boa,positive,0.8,General Feedback
40,Best,positive,1.0,General Feedback
41,boa of mobile backing,neutral,0.0,General Feedback
42,nice,positive,0.6,General Feedback
43,faster bank of Abissinya,neutral,0.0,Transaction Performance & Speed
